latitude,longitude,bright_ti4,scan,track,confidence,version,bright_ti5,frp,daynight,type,acq_DateTime,x_m,y_m,cluster_id,centroid_lat,centroid_lon,detection_count
21.29931,81.60573,305.52,0.48,0.48,n,2.0NRT,285.66,0.64,N,,2026-07-07 19:49:00,-60108.08627694147,2364870.6956518474,0,21.30013488372093,81.60583081395349,86.0
21.29999,81.60863,305.34,0.48,0.48,n,2.0NRT,285.78,0.96,N,,2026-07-07 19:49:00,-59803.71978731011,2364935.8546169936,0,21.30013488372093,81.60583081395349,86.0
21.30978,81.59284,304.34,0.49,0.48,n,2.0NRT,286.15,0.7,N,,2026-07-07 19:49:00,-61409.46535360103,2366079.377314953,1,21.311168095238095,81.59012980952382,105.0
21.31113,81.59106,304.55,0.49,0.48,n,2.0NRT,286.07,1.01,N,,2026-07-07 19:49:00,-61589.52597043221,2366235.6577132605,1,21.311168095238095,81.59012980952382,105.0
21.37591,81.68239,312.18,0.48,0.48,n,2.0NRT,288.7,3.49,N,,2026-07-07 19:49:00,-51843.04901553376,2373103.9765145266,2,21.37351172413793,81.6796589367816,348.0
21.37644,81.63986,308.65,0.48,0.48,n,2.0NRT,287.91,1.8,N,,2026-07-07 19:49:00,-56264.14311212965,2373313.491127556,3,21.37309800925926,81.64323555555556,216.0
21.38918,81.64633,305.04,0.48,0.48,n,2.0NRT,288.18,1.1,N,,2026-07-07 19:49:00,-55542.918201891705,2374705.0842691055,4,21.389503644859815,81.64705420560747,107.0
21.48625,81.77051,310.89,0.48,0.48,n,2.0NRT,288.8,1.77,N,,2026-07-07 19:49:00,-42269.634764294955,2385045.527728378,5,21.487758636363637,81.76802333333333,132.0
21.62204,81.79398,303.73,0.48,0.48,n,2.0NRT,288.3,0.9,N,,2026-07-07 19:49:00,-39326.34778847452,2400038.872287209,6,21.62271573770492,81.79295803278688,61.0
21.6725,82.08018,309.77,0.46,0.47,n,2.0NRT,288.25,1.82,N,,2026-07-07 19:49:00,-9444.105571802764,2404669.192257213,7,21.673963649635038,82.07993664233577,137.0
21.67415,82.08156,304.88,0.46,0.47,n,2.0NRT,288.24,1.88,N,,2026-07-07 19:49:00,-9295.130311748071,2404847.760005955,7,21.673963649635038,82.07993664233577,137.0
22.3562,82.30133,334.48,0.54,0.42,n,2.0NRT,292.41,6.0,D,,2026-07-10 08:05:00,15831.556108165125,2479817.032867536,8,22.35903025735294,82.30251974264706,272.0
22.3601,82.30076,330.08,0.54,0.42,n,2.0NRT,293.09,6.0,D,,2026-07-10 08:05:00,15786.258555383247,2480251.6066053817,8,22.35903025735294,82.30251974264706,272.0
22.35732,82.30294,295.09,0.54,0.42,n,2.0NRT,264.48,0.67,N,,2026-07-10 20:32:00,16001.606608259957,2479936.1109368033,8,22.35903025735294,82.30251974264706,272.0
22.36113,82.30374,299.08,0.54,0.42,n,2.0NRT,266.39,0.67,N,,2026-07-10 20:32:00,16097.384591819718,2480356.2775437003,8,22.35903025735294,82.30251974264706,272.0
21.75493,83.84231,308.96,0.4,0.37,n,2.0NRT,281.06,1.02,N,,2026-07-11 20:14:00,173382.78368768113,2409039.7203045525,9,21.747964999999997,83.84321110671937,506.0
21.76434,83.84809,301.91,0.4,0.37,n,2.0NRT,279.91,1.26,N,,2026-07-11 20:14:00,174002.3672949485,2410070.173795633,9,21.747964999999997,83.84321110671937,506.0
21.98546,83.23327,315.85,0.39,0.36,n,2.0NRT,291.61,2.59,N,,2026-07-11 20:14:00,110952.25207245385,2436009.934788744,10,21.984956463414633,83.23297554878049,164.0
22.00538,82.67103,315.71,0.39,0.36,n,2.0NRT,290.38,2.95,N,,2026-07-11 20:14:00,52868.86269604135,2439759.8728187033,11,22.005290927419352,82.66923274193549,248.0
22.03779,83.35039,310.84,0.39,0.36,n,2.0NRT,284.48,2.53,N,,2026-07-11 20:14:00,123199.74874781893,2441516.850409722,12,22.036385941422594,83.35570451882845,478.0
22.31304,82.53261,306.56,0.38,0.36,n,2.0NRT,291.08,1.45,N,,2026-07-11 20:14:00,39556.8238777761,2474301.478749655,13,22.31689147302905,82.5317620539419,482.0
22.3155,82.55966,308.16,0.38,0.36,n,2.0NRT,292.05,1.2,N,,2026-07-11 20:14:00,42356.86280087585,2474491.7937133345,13,22.31689147302905,82.5317620539419,482.0
22.31633,82.5332,307.11,0.38,0.36,n,2.0NRT,291.68,1.32,N,,2026-07-11 20:14:00,39628.54770431493,2474664.637191587,13,22.31689147302905,82.5317620539419,482.0
22.32114,82.54549,315.28,0.38,0.36,n,2.0NRT,291.6,2.49,N,,2026-07-11 20:14:00,40912.8366245213,2475160.634629534,13,22.31689147302905,82.5317620539419,482.0
22.32148,82.56456,315.24,0.38,0.36,n,2.0NRT,292.67,2.24,N,,2026-07-11 20:14:00,42882.14520854928,2475140.2399413865,13,22.31689147302905,82.5317620539419,482.0
22.32874,82.60394,306.68,0.38,0.36,n,2.0NRT,291.76,1.24,N,,2026-07-11 20:14:00,46969.91230981087,2475826.343315569,14,22.33174192857143,82.60500714285713,140.0
22.33006,82.53193,305.38,0.38,0.36,n,2.0NRT,291.14,0.79,N,,2026-07-11 20:14:00,39542.67203965067,2476191.6189024127,15,22.331736153846155,82.5321746153846,26.0
22.33203,82.60455,313.36,0.38,0.36,n,2.0NRT,291.34,1.21,N,,2026-07-11 20:14:00,47043.52179077268,2476189.4446827928,14,22.33174192857143,82.60500714285713,140.0
22.35587,82.30492,310.15,0.38,0.36,n,2.0NRT,291.79,2.39,N,,2026-07-11 20:14:00,16200.932280733425,2479768.83764682,8,22.35903025735294,82.30251974264706,272.0
22.35645,82.30122,330.7,0.38,0.36,n,2.0NRT,291.12,2.39,N,,2026-07-11 20:14:00,15821.070366218453,2479845.127178759,8,22.35903025735294,82.30251974264706,272.0
22.35974,82.30182,337.13,0.38,0.36,n,2.0NRT,292.41,4.67,N,,2026-07-11 20:14:00,15894.40825260547,2480208.241128866,8,22.35903025735294,82.30251974264706,272.0
23.16332,82.34236,308.96,0.38,0.36,n,2.0NRT,291.54,1.59,N,,2026-07-11 20:14:00,22888.797641800542,2569238.983534566,16,23.16630988372093,82.33861888081395,688.0
23.1639,82.33865,322.59,0.38,0.36,n,2.0NRT,292.21,1.59,N,,2026-07-11 20:14:00,22510.240194427955,2569315.541561116,16,23.16630988372093,82.33861888081395,688.0
23.16448,82.33493,308.93,0.38,0.36,n,2.0NRT,291.33,0.99,N,,2026-07-11 20:14:00,22130.65878692019,2569392.1427984596,16,23.16630988372093,82.33861888081395,688.0
23.16661,82.34296,325.69,0.38,0.36,n,2.0NRT,292.71,1.59,N,,2026-07-11 20:14:00,22962.05178380251,2569602.057942408,16,23.16630988372093,82.33861888081395,688.0
23.16719,82.33925,314.52,0.38,0.36,n,2.0NRT,291.76,1.59,N,,2026-07-11 20:14:00,22583.503974887542,2569678.615690231,16,23.16630988372093,82.33861888081395,688.0
24.05248,80.61337,306.97,0.42,0.37,n,2.0NRT,292.77,1.18,N,,2026-07-11 20:14:00,-150232.36755018553,2674848.7122119116,17,24.05375,80.61308829268293,41.0
