latitude,longitude,bright_ti4,scan,track,confidence,version,bright_ti5,frp,daynight,type,acq_DateTime,x_m,y_m,cluster_id,centroid_lat,centroid_lon,detection_count,nearest_industrial_distance_m,nearest_industrial_type,industrial_count_5km
21.29931,81.60573,305.52,0.48,0.48,n,2.0NRT,285.66,0.64,N,,2026-07-07 19:49:00,562827.310661158,2355394.317264272,0,21.30019339622641,81.60587896226414,106,1018.9570872640251,landuse=industrial,11
21.29999,81.60863,305.34,0.48,0.48,n,2.0NRT,285.78,0.96,N,,2026-07-07 19:49:00,563127.8213681359,2355470.7384731667,0,21.30019339622641,81.60587896226414,106,801.630904138134,landuse=industrial,11
21.30978,81.59284,304.34,0.49,0.48,n,2.0NRT,286.15,0.7,N,,2026-07-07 19:49:00,561485.9463518201,2356548.0686005023,1,21.31082025423729,81.58985593220338,118,208.23247235936475,landuse=industrial,10
21.31113,81.59106,304.55,0.49,0.48,n,2.0NRT,286.07,1.01,N,,2026-07-07 19:49:00,561300.7699570929,2356696.7949895607,1,21.31082025423729,81.58985593220338,118,128.19082071617322,landuse=industrial,9
21.37591,81.68239,312.18,0.48,0.48,n,2.0NRT,288.7,3.49,N,,2026-07-07 19:49:00,570742.1315174277,2363905.1014429303,2,21.373370092879256,81.67946736842106,323,128.72703657021975,landuse=industrial,11
21.37644,81.63986,308.65,0.48,0.48,n,2.0NRT,287.91,1.8,N,,2026-07-07 19:49:00,566332.7448675251,2363945.2188048307,3,21.378662209302323,81.6453633139535,344,989.2339488118923,landuse=industrial,8
21.38918,81.64633,305.04,0.48,0.48,n,2.0NRT,288.18,1.1,N,,2026-07-07 19:49:00,566997.6952969244,2365358.063901651,3,21.378662209302323,81.6453633139535,344,247.3327108438295,landuse=industrial,7
21.48625,81.77051,310.89,0.48,0.48,n,2.0NRT,288.8,1.77,N,,2026-07-07 19:49:00,579817.741534917,2376160.3904120233,4,21.487905214285718,81.7680635,140,65.77996021908898,landuse=industrial,6
21.62204,81.79398,303.73,0.48,0.48,n,2.0NRT,288.3,0.9,N,,2026-07-07 19:49:00,582172.6062346844,2391202.850104231,5,21.622910344827584,81.79291172413792,58,1998.5049392004316,landuse=quarry,1
21.6725,82.08018,309.77,0.46,0.47,n,2.0NRT,288.25,1.82,N,,2026-07-07 19:49:00,611756.1297099441,2396967.091867216,6,21.67398962962963,82.0801782962963,135,432.21151182735275,landuse=industrial,2
21.67415,82.08156,304.88,0.46,0.47,n,2.0NRT,288.24,1.88,N,,2026-07-07 19:49:00,611897.6443430943,2397150.735226452,6,21.67398962962963,82.0801782962963,135,340.81792799879065,landuse=industrial,2
22.3562,82.30133,334.48,0.54,0.42,n,2.0NRT,292.41,6.0,D,,2026-07-10 08:05:00,633994.589990079,2472833.0215145224,7,22.35891150877193,82.30257733333333,285,838.5432370396709,landuse=quarry,1
22.3601,82.30076,330.08,0.54,0.42,n,2.0NRT,293.09,6.0,D,,2026-07-10 08:05:00,633932.1619235327,2473264.288335865,7,22.35891150877193,82.30257733333333,285,693.0326115527029,landuse=quarry,1
22.35732,82.30294,295.09,0.54,0.42,n,2.0NRT,264.48,0.67,N,,2026-07-10 20:32:00,634159.3152238802,2472958.4516430143,7,22.35891150877193,82.30257733333333,285,949.3636095466721,landuse=quarry,1
22.36113,82.30374,299.08,0.54,0.42,n,2.0NRT,266.39,0.67,N,,2026-07-10 20:32:00,634238.0468049507,2473380.974905332,7,22.35891150877193,82.30257733333333,285,1012.0110976539588,landuse=quarry,1
21.75493,83.84231,308.96,0.4,0.37,n,2.0NRT,281.06,1.02,N,,2026-07-11 20:14:00,793975.1001393629,2408405.6591118383,8,21.748015486725663,83.84299966814159,452,694.7377199457256,landuse=quarry,8
21.76434,83.84809,301.91,0.4,0.37,n,2.0NRT,279.91,1.26,N,,2026-07-11 20:14:00,794554.0483891377,2409459.142481237,8,21.748015486725663,83.84299966814159,452,531.5704890223544,landuse=industrial,10
21.98546,83.23327,315.85,0.39,0.36,n,2.0NRT,291.61,2.59,N,,2026-07-11 20:14:00,730585.8181418761,2432900.550455481,9,21.985090509554137,83.23279356687898,157,185.05529583801243,landuse=industrial,4
22.00538,82.67103,315.71,0.39,0.36,n,2.0NRT,290.38,2.95,N,,2026-07-11 20:14:00,672496.3302989,2434365.1464282097,10,22.00540012605042,82.66913298319328,238,65.3352381102184,landuse=industrial,4
22.03779,83.35039,310.84,0.39,0.36,n,2.0NRT,284.48,2.53,N,,2026-07-11 20:14:00,742594.1289981665,2438877.541735022,11,22.036216906187622,83.35584205588823,501,2663.4202039126103,landuse=industrial,7
22.31304,82.53261,306.56,0.38,0.36,n,2.0NRT,291.08,1.45,N,,2026-07-11 20:14:00,657861.2391277056,2468278.490540066,12,22.31689644210526,82.53247810526317,475,1569.2983239816535,landuse=quarry,3
22.3155,82.55966,308.16,0.38,0.36,n,2.0NRT,292.05,1.2,N,,2026-07-11 20:14:00,660645.1047889979,2468579.418441787,12,22.31689644210526,82.53247810526317,475,3047.3536592192477,landuse=quarry,4
22.31633,82.5332,307.11,0.38,0.36,n,2.0NRT,291.68,1.32,N,,2026-07-11 20:14:00,657918.3184950744,2468643.372454613,12,22.31689644210526,82.53247810526317,475,1205.1692693195662,landuse=quarry,3
22.32114,82.54549,315.28,0.38,0.36,n,2.0NRT,291.6,2.49,N,,2026-07-11 20:14:00,659178.9407036543,2469188.8510519895,12,22.31689644210526,82.53247810526317,475,1461.6407002008389,landuse=quarry,4
