cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,months_active,recurrence_rate,frp_mean,frp_std,frp_cv,day_count,night_count,daynight_ratio,industrial_score,wildfire_score,label
0,106,2025-10-07 20:02:00,2026-08-01 07:52:00,21.30019339622641,81.60587896226414,1018.9570872640252,landuse=industrial,9.9,10.707070707070706,1.2097674418604651,0.9975510917113746,0.8245808716568456,2,104,0.0188679245283018,2,1,uncertain
1,118,2025-09-18 20:59:00,2026-08-12 20:17:00,21.31082025423729,81.58985593220338,208.23247235936475,landuse=industrial,10.9,10.825688073394495,1.0622857142857145,0.6193067730300381,0.5829945415828761,0,118,0.0,4,1,uncertain
2,323,2025-09-05 20:02:00,2026-08-25 19:32:00,21.373370092879256,81.67946736842106,128.72703657021975,landuse=industrial,11.766666666666667,27.450424929178467,1.7740229885057472,0.8504593907192234,0.4793959245339667,2,321,0.0061919504643962,6,1,industrial
3,344,2025-09-05 20:02:00,2026-08-25 19:32:00,21.378662209302323,81.6453633139535,989.2339488118924,landuse=industrial,11.766666666666667,29.23512747875354,1.6212037037037037,0.6375165735630832,0.3932365637375806,3,341,0.0087209302325581,5,1,industrial
4,140,2025-09-04 20:21:00,2026-07-30 20:57:00,21.48790521428572,81.7680635,65.77996021908898,landuse=industrial,10.966666666666669,12.76595744680851,1.5574766355140188,0.6283928188850582,0.4034685365778651,2,138,0.0142857142857142,5,1,industrial
5,58,2025-11-17 20:34:00,2026-08-01 20:21:00,21.622910344827584,81.79291172413792,1998.504939200432,landuse=quarry,8.533333333333333,6.796875,1.6607575757575757,0.60800590245744,0.3661015378358822,0,58,0.0,2,1,uncertain
6,135,2025-09-06 19:44:00,2026-08-01 20:21:00,21.67398962962963,82.0801782962963,432.2115118273528,landuse=industrial,10.966666666666669,12.310030395136778,0.9642622950819671,0.3029106524834974,0.3141371948570782,0,135,0.0,4,1,uncertain
7,285,2025-10-17 20:14:00,2026-08-26 08:24:00,22.35891150877193,82.30257733333333,838.5432370396709,landuse=quarry,10.4,27.40384615384616,1.6744525547445257,0.7885335605040658,0.4709202170403531,26,259,0.0912280701754386,5,1,industrial
8,452,2025-09-05 20:02:00,2026-08-28 07:46:00,21.748015486725663,83.84299966814159,694.7377199457256,landuse=quarry,11.866666666666667,38.08988764044944,2.0945955882352942,1.5354352671030636,0.7330461668720855,86,366,0.1902654867256637,4,0,uncertain
9,157,2025-09-05 20:02:00,2026-07-29 19:38:00,21.985090509554137,83.23279356687898,185.05529583801243,landuse=industrial,10.866666666666667,14.447852760736197,3.189683794466404,2.818978801618502,0.8837800181036704,2,155,0.0127388535031847,4,1,uncertain
10,238,2025-09-05 20:02:00,2026-08-22 20:27:00,22.00540012605042,82.66913298319328,65.3352381102184,landuse=industrial,11.7,20.341880341880344,1.5429268292682927,0.944088469137285,0.6118815560327012,1,237,0.0042016806722689,5,1,industrial
11,501,2025-09-05 07:34:00,2026-08-12 20:17:00,22.036216906187622,83.35584205588823,2663.4202039126103,landuse=industrial,11.366666666666667,44.07624633431085,1.965120967741936,1.0468924447982126,0.5327368960910162,7,494,0.0139720558882235,4,1,uncertain
12,475,2025-09-08 20:46:00,2026-08-22 20:27:00,22.31689644210526,82.53247810526317,1569.2983239816535,landuse=quarry,11.566666666666666,41.06628242074928,1.723598326359833,0.9471090414694876,0.5494952199621487,12,463,0.0252631578947368,4,1,uncertain
13,226,2025-09-05 20:02:00,2026-08-01 20:21:00,22.32849296460177,82.59804663716814,1773.9955650513264,landuse=quarry,11.0,20.545454545454547,1.7666804979253112,1.0490553009852834,0.593800238479586,16,210,0.0707964601769911,4,1,uncertain
14,25,2025-11-15 19:31:00,2026-07-11 20:14:00,22.3315904,82.532178,330.661975092005,landuse=quarry,7.933333333333334,3.1512605042016806,1.7755714285714286,1.10041605697953,0.6197531900278953,0,25,0.0,2,2,uncertain
15,679,2025-09-05 20:02:00,2026-08-01 20:19:00,23.16639468335788,82.33858649484536,1230.2128022002564,landuse=quarry,11.0,61.72727272727273,0.925,0.3638818489564985,0.393385782655674,149,530,0.219440353460972,4,0,uncertain
16,39,2025-09-05 20:02:00,2026-07-11 20:14:00,24.05364717948718,80.61300282051282,296.74352935746714,landuse=industrial,10.3,3.786407766990291,3.062936046511628,1.89588164294488,0.6189752623480649,0,39,0.0,2,2,uncertain
17,105,2025-09-28 19:32:00,2026-09-01 08:09:00,17.957685047619048,80.78900057142857,1731.5975956290306,landuse=quarry,11.233333333333333,9.347181008902078,1.057560975609756,0.2854013006960977,0.2698674660641145,6,99,0.0571428571428571,2,1,uncertain
18,467,2025-09-04 20:22:00,2026-08-11 20:34:00,19.09990119914347,82.16705094218416,190.24065815241465,industrial=steelmaking,11.366666666666667,41.0850439882698,2.1223008849557523,1.5270092202275412,0.7195064710437501,57,410,0.1220556745182012,5,0,industrial
19,67,2025-09-05 20:03:00,2026-08-25 19:32:00,21.19563582089552,81.4161876119403,1172.5516330907674,landuse=industrial,11.766666666666667,5.694050991501416,2.2970093457943928,1.419880731840706,0.6181432106231407,10,57,0.1492537313432835,1,1,uncertain
20,92,2025-09-08 20:46:00,2026-08-02 20:02:00,21.80240673913044,82.03904565217391,9376.254613172665,landuse=industrial,10.9,8.440366972477063,3.91203125,4.024046443169575,1.0286335118538674,0,92,0.0,0,2,uncertain
21,26,2025-10-25 19:25:00,2026-09-03 20:04:00,17.968154615384613,83.15393615384616,151.60967657466918,landuse=industrial,10.433333333333334,2.492012779552716,1.426346153846154,0.7421525471801834,0.5203172772464546,0,26,0.0,4,3,uncertain
22,20,2025-11-13 20:09:00,2026-07-24 19:30:00,21.3235345,81.5779885,599.3262539707351,landuse=industrial,8.4,2.380952380952381,1.155,0.4621974368040517,0.4001709409558889,0,20,0.0,3,3,uncertain
23,37,2025-10-17 20:14:00,2026-07-24 19:30:00,21.94000621621621,81.9812464864865,4198.708258439548,landuse=quarry,9.3,3.9784946236559136,0.7732142857142856,0.5749270715196297,0.7435546421500986,0,37,0.0,1,2,uncertain
24,341,2025-09-04 20:21:00,2026-08-25 21:12:00,21.186550938416424,81.38758909090909,99.08107499408626,man_made=works,11.833333333333334,28.816901408450704,0.7694285714285715,0.2388076121698219,0.3103700863699876,5,336,0.0146627565982404,6,1,industrial
25,83,2025-09-05 20:02:00,2026-07-26 20:34:00,21.87683361445783,83.49469445783132,98.11131981361606,landuse=industrial,10.8,7.685185185185185,2.1225348189415043,1.3054836999454884,0.6150587911658031,1,82,0.0120481927710843,3,1,uncertain
26,150,2025-09-05 20:02:00,2026-07-31 20:40:00,21.8794364,83.55273293333333,148.1873444127531,landuse=industrial,10.966666666666669,13.677811550151976,1.2884158415841584,0.8084735402884465,0.6274942562755176,2,148,0.0133333333333333,4,1,uncertain
27,600,2025-09-05 20:02:00,2026-08-26 08:24:00,21.922663816666667,83.34778976666666,818.9517813539323,landuse=industrial,11.8,50.84745762711864,1.271867469879518,0.5444481280595052,0.4280698586552259,75,525,0.125,5,0,industrial
28,359,2025-09-06 19:43:00,2026-08-12 07:46:00,21.679071364902505,84.03850323119777,587.1345503440656,landuse=industrial,11.3,31.769911504424776,2.893462214411248,1.4571051511627724,0.5035853393576316,30,329,0.0835654596100278,5,1,industrial
29,169,2025-09-05 20:03:00,2026-07-30 20:57:00,21.34680408284024,81.66660923076923,981.9366292460436,landuse=industrial,10.933333333333334,15.457317073170731,2.3087397260273974,1.4506951916974875,0.6283493870457499,6,163,0.0355029585798816,3,1,uncertain
30,7,2026-01-02 19:33:00,2026-07-30 20:57:00,21.605545714285714,81.82321714285715,5662.514656296822,landuse=quarry,6.966666666666667,1.0047846889952152,1.327515923566879,0.8097036938659717,0.6099389690862564,0,7,0.0,0,4,wildfire
31,1159,2025-09-05 07:34:00,2026-07-31 20:40:00,22.041284849007763,83.73296673856773,2370.159466897239,landuse=quarry,10.966666666666669,105.6838905775076,0.6970000000000001,0.1882108746415396,0.2700299492705016,255,904,0.2200172562553926,4,0,uncertain
32,133,2025-09-06 19:43:00,2026-08-12 20:17:00,22.087874586466164,83.11691090225564,1026.2926234613485,landuse=quarry,11.333333333333334,11.735294117647058,4.308724832214765,3.297492887465099,0.7653059816702488,19,114,0.1428571428571428,2,0,uncertain
33,14,2026-01-03 20:54:00,2026-07-31 20:40:00,22.10685071428572,83.12439571428571,1728.1785170538508,landuse=quarry,6.933333333333334,2.019230769230769,2.1979591836734698,1.7422717569411914,0.792677029620412,0,14,0.0,1,3,uncertain
34,28,2025-11-07 20:22:00,2026-08-01 20:21:00,21.190774642857143,81.198385,741.0405032976439,landuse=industrial,8.866666666666667,3.1578947368421053,1.506,0.9661745873978124,0.6415501908352008,0,28,0.0,2,2,uncertain
35,49,2025-09-05 20:02:00,2026-08-01 20:21:00,21.55944,81.75155795918367,98.2457242455866,landuse=industrial,11.0,4.454545454545454,0.8781818181818182,0.3103773363328755,0.3534317494473737,0,49,0.0,4,2,uncertain
36,18,2025-12-25 20:23:00,2026-08-01 20:21:00,21.631234444444445,82.11191888888888,203.5735332958121,landuse=industrial,7.266666666666667,2.477064220183486,1.199230769230769,1.500623198846747,1.2513214615142856,0,18,0.0,2,3,uncertain
37,74,2025-09-08 20:46:00,2026-08-01 20:21:00,21.73183189189189,82.21332324324325,57.98617469489116,landuse=industrial,10.866666666666667,6.809815950920245,0.8781818181818182,0.3229866039332689,0.3677901287024801,0,74,0.0,4,1,uncertain
38,21,2025-10-24 19:44:00,2026-08-02 20:04:00,18.54149380952381,83.34153904761904,1016.3319334048944,landuse=quarry,9.4,2.234042553191489,1.2938028169014084,0.3766520417618632,0.2911201280763367,0,21,0.0,2,3,uncertain
39,746,2025-09-06 19:43:00,2026-08-20 19:25:00,21.763727131367293,84.02066849865952,415.5696377210002,landuse=industrial,11.566666666666666,64.49567723342939,1.0871428571428572,0.450152599278692,0.4140694080093093,18,728,0.0241286863270777,5,1,industrial
