latitude,longitude,bright_ti4,scan,track,confidence,version,bright_ti5,frp,daynight,type,acq_DateTime
21.29931,81.60573,305.52,0.48,0.48,n,2.0NRT,285.66,0.64,N,,2026-07-07 19:49:00
21.29999,81.60863,305.34,0.48,0.48,n,2.0NRT,285.78,0.96,N,,2026-07-07 19:49:00
21.30978,81.59284,304.34,0.49,0.48,n,2.0NRT,286.15,0.7,N,,2026-07-07 19:49:00
21.31113,81.59106,304.55,0.49,0.48,n,2.0NRT,286.07,1.01,N,,2026-07-07 19:49:00
21.37591,81.68239,312.18,0.48,0.48,n,2.0NRT,288.7,3.49,N,,2026-07-07 19:49:00
21.37644,81.63986,308.65,0.48,0.48,n,2.0NRT,287.91,1.8,N,,2026-07-07 19:49:00
21.38918,81.64633,305.04,0.48,0.48,n,2.0NRT,288.18,1.1,N,,2026-07-07 19:49:00
21.48625,81.77051,310.89,0.48,0.48,n,2.0NRT,288.8,1.77,N,,2026-07-07 19:49:00
21.62204,81.79398,303.73,0.48,0.48,n,2.0NRT,288.3,0.9,N,,2026-07-07 19:49:00
21.6725,82.08018,309.77,0.46,0.47,n,2.0NRT,288.25,1.82,N,,2026-07-07 19:49:00
21.67415,82.08156,304.88,0.46,0.47,n,2.0NRT,288.24,1.88,N,,2026-07-07 19:49:00
22.3562,82.30133,334.48,0.54,0.42,n,2.0NRT,292.41,6.0,D,,2026-07-10 08:05:00
22.3601,82.30076,330.08,0.54,0.42,n,2.0NRT,293.09,6.0,D,,2026-07-10 08:05:00
22.35732,82.30294,295.09,0.54,0.42,n,2.0NRT,264.48,0.67,N,,2026-07-10 20:32:00
22.36113,82.30374,299.08,0.54,0.42,n,2.0NRT,266.39,0.67,N,,2026-07-10 20:32:00
21.75493,83.84231,308.96,0.4,0.37,n,2.0NRT,281.06,1.02,N,,2026-07-11 20:14:00
21.76434,83.84809,301.91,0.4,0.37,n,2.0NRT,279.91,1.26,N,,2026-07-11 20:14:00
21.98546,83.23327,315.85,0.39,0.36,n,2.0NRT,291.61,2.59,N,,2026-07-11 20:14:00
22.00538,82.67103,315.71,0.39,0.36,n,2.0NRT,290.38,2.95,N,,2026-07-11 20:14:00
22.03779,83.35039,310.84,0.39,0.36,n,2.0NRT,284.48,2.53,N,,2026-07-11 20:14:00
22.31304,82.53261,306.56,0.38,0.36,n,2.0NRT,291.08,1.45,N,,2026-07-11 20:14:00
22.3155,82.55966,308.16,0.38,0.36,n,2.0NRT,292.05,1.2,N,,2026-07-11 20:14:00
22.31633,82.5332,307.11,0.38,0.36,n,2.0NRT,291.68,1.32,N,,2026-07-11 20:14:00
22.32114,82.54549,315.28,0.38,0.36,n,2.0NRT,291.6,2.49,N,,2026-07-11 20:14:00
22.32148,82.56456,315.24,0.38,0.36,n,2.0NRT,292.67,2.24,N,,2026-07-11 20:14:00
22.32874,82.60394,306.68,0.38,0.36,n,2.0NRT,291.76,1.24,N,,2026-07-11 20:14:00
22.33006,82.53193,305.38,0.38,0.36,n,2.0NRT,291.14,0.79,N,,2026-07-11 20:14:00
22.33203,82.60455,313.36,0.38,0.36,n,2.0NRT,291.34,1.21,N,,2026-07-11 20:14:00
22.35587,82.30492,310.15,0.38,0.36,n,2.0NRT,291.79,2.39,N,,2026-07-11 20:14:00
22.35645,82.30122,330.7,0.38,0.36,n,2.0NRT,291.12,2.39,N,,2026-07-11 20:14:00
22.35974,82.30182,337.13,0.38,0.36,n,2.0NRT,292.41,4.67,N,,2026-07-11 20:14:00
23.16332,82.34236,308.96,0.38,0.36,n,2.0NRT,291.54,1.59,N,,2026-07-11 20:14:00
23.1639,82.33865,322.59,0.38,0.36,n,2.0NRT,292.21,1.59,N,,2026-07-11 20:14:00
23.16448,82.33493,308.93,0.38,0.36,n,2.0NRT,291.33,0.99,N,,2026-07-11 20:14:00
23.16661,82.34296,325.69,0.38,0.36,n,2.0NRT,292.71,1.59,N,,2026-07-11 20:14:00
23.16719,82.33925,314.52,0.38,0.36,n,2.0NRT,291.76,1.59,N,,2026-07-11 20:14:00
24.05248,80.61337,306.97,0.42,0.37,n,2.0NRT,292.77,1.18,N,,2026-07-11 20:14:00
17.9528,80.75981,309.48,0.39,0.36,n,2.0NRT,291.22,1.76,N,,2026-07-11 20:17:00
17.95492,80.78982,307.53,0.39,0.36,n,2.0NRT,292.54,2.05,N,,2026-07-11 20:17:00
17.95548,80.78621,317.62,0.39,0.36,n,2.0NRT,293.48,2.05,N,,2026-07-11 20:17:00
19.09047,82.16717,300.41,0.39,0.36,n,2.0NRT,286.51,1.66,N,,2026-07-11 20:17:00
18.56788,82.56406,334.96,0.4,0.44,n,2.0NRT,292.75,4.27,D,,2026-07-12 07:26:00
21.1974,81.41872,342.85,0.42,0.45,n,2.0NRT,294.86,16.41,D,,2026-07-12 07:26:00
22.35704,82.30363,315.9,0.55,0.42,n,2.0NRT,289.03,2.09,N,,2026-07-12 19:55:00
22.36093,82.30424,311.33,0.55,0.42,n,2.0NRT,288.85,2.09,N,,2026-07-12 19:55:00
23.16603,82.34498,305.39,0.56,0.43,n,2.0NRT,289.17,2.1,N,,2026-07-12 19:55:00
23.16672,82.33959,319.46,0.56,0.43,n,2.0NRT,289.65,2.1,N,,2026-07-12 19:55:00
21.19331,81.41738,311.72,0.4,0.6,n,2.0NRT,267.23,1.67,N,,2026-07-13 19:36:00
21.19367,81.41359,297.0,0.4,0.6,n,2.0NRT,266.26,1.25,N,,2026-07-13 19:36:00
21.80292,82.03979,295.77,0.37,0.58,n,2.0NRT,275.38,0.73,N,,2026-07-13 19:36:00
22.31849,82.57055,300.68,0.35,0.56,n,2.0NRT,280.07,1.32,N,,2026-07-13 19:36:00
22.33063,82.60566,297.94,0.34,0.56,n,2.0NRT,275.52,1.29,N,,2026-07-13 19:36:00
22.33218,82.60658,296.96,0.34,0.56,n,2.0NRT,274.38,0.82,N,,2026-07-13 19:36:00
22.35853,82.30383,330.35,0.45,0.63,n,2.0NRT,285.25,4.41,D,,2026-07-14 08:30:00
17.96957,83.15248,301.69,0.44,0.46,n,2.0NRT,281.72,0.77,N,,2026-07-18 19:45:00
17.85728,83.18861,304.45,0.45,0.63,n,2.0NRT,278.52,1.37,N,,2026-07-19 19:25:00
21.31614,81.5776,296.12,0.49,0.65,n,2.0NRT,284.69,1.74,N,,2026-07-24 19:30:00
21.48586,81.76777,304.96,0.48,0.65,n,2.0NRT,283.6,2.05,N,,2026-07-24 19:30:00
21.80207,82.04038,303.14,0.47,0.64,n,2.0NRT,281.58,1.18,N,,2026-07-24 19:30:00
21.94098,81.98135,303.11,0.47,0.64,n,2.0NRT,285.44,0.72,N,,2026-07-24 19:30:00
21.18369,81.38795,304.68,0.32,0.55,n,2.0NRT,274.87,2.33,N,,2026-07-25 20:51:00
21.18798,81.39221,304.96,0.32,0.55,n,2.0NRT,273.87,1.9,N,,2026-07-25 20:51:00
23.16376,82.33923,299.82,0.34,0.56,n,2.0NRT,268.4,1.06,N,,2026-07-25 20:51:00
23.16449,82.33588,298.87,0.34,0.56,n,2.0NRT,267.47,0.8,N,,2026-07-25 20:51:00
19.09323,82.16925,301.88,0.4,0.44,n,2.0NRT,279.69,2.55,N,,2026-07-26 20:34:00
19.09794,82.16639,300.69,0.4,0.44,n,2.0NRT,274.28,1.42,N,,2026-07-26 20:34:00
21.48869,81.77155,296.31,0.52,0.42,n,2.0NRT,271.59,0.53,N,,2026-07-26 20:34:00
21.67353,82.08156,308.34,0.54,0.42,n,2.0NRT,290.43,2.55,N,,2026-07-26 20:34:00
21.80208,82.04137,304.47,0.53,0.42,n,2.0NRT,283.12,1.34,N,,2026-07-26 20:34:00
21.8766,83.49715,302.68,0.43,0.46,n,2.0NRT,288.81,1.27,N,,2026-07-26 20:34:00
21.87937,83.55609,308.29,0.43,0.46,n,2.0NRT,289.09,2.29,N,,2026-07-26 20:34:00
