cluster_id,centroid_lat,centroid_lon,nearest_osm_feature,distance_to_osm_m,nearest_osm_lat,nearest_osm_lon,osm_count_within_5km
0,21.30019339622641,81.60587896226414,Unnamed industrial feature,1050.62,21.2954413,81.614644,11
1,21.31082025423729,81.58985593220338,Unnamed industrial feature,137.94,21.3099895,81.5908448,9
2,21.373370092879256,81.67946736842106,Unnamed industrial feature,300.43,21.3748409,81.6819012,11
3,21.378662209302323,81.6453633139535,Unnamed industrial feature,624.79,21.3742607,81.6491139,9
4,21.487905214285718,81.7680635,Unnamed industrial feature,282.19,21.486042,81.7699152,6
5,21.622910344827584,81.79291172413792,Unnamed industrial feature,1858.35,21.6292685,81.7762855,1
6,21.67398962962963,82.0801782962963,Unnamed industrial feature,461.53,21.672524,82.084357,2
7,22.35891150877193,82.30257733333333,Unnamed industrial feature,879.99,22.3595965,82.2940521,1
8,21.748015486725663,83.84299966814159,Belpahar Coal Mine,443.58,21.7501368,83.846637,8
9,21.985090509554137,83.23279356687898,Unnamed industrial feature,212.33,21.98454,83.2347654,4
10,22.00540012605042,82.66913298319328,Prakash Industries Steel Plant,236.99,22.0048774,82.6713615,4
11,22.036216906187622,83.35584205588823,Unnamed industrial feature,2982.81,22.021415,83.3799755,7
12,22.31689644210526,82.53247810526317,Dipka Open Cast Mine,1147.67,22.3272106,82.5328909,3
13,22.32849296460177,82.59804663716814,Gevra Open Cast Mine,1225.49,22.3337838,82.5875947,2
14,22.3315904,82.532178,Dipka Open Cast Mine,492.5,22.3272106,82.5328909,4
15,23.16639468335788,82.33858649484536,Chirimiri Coal Mine,867.1,23.1741356,82.339611,1
16,24.05364717948718,80.61300282051282,Unnamed industrial feature,233.17,24.0535784,80.6107077,2
-1,17.9528,80.75981,Manuguru II Coal Mine,1525.57,17.9507245,80.7740659,1
17,17.957685047619048,80.78900057142857,Manuguru II Coal Mine,1759.2,17.9507245,80.7740659,4
18,19.09990119914347,82.16705094218416,Nagarnar Steel Plant,927.36,19.0916395,82.1658448,2
-1,18.56788,82.56406,Machkund Hydro Electric (Joint) Scheme,14562.74,18.5084063,82.4409912,0
19,21.19563582089552,81.4161876119403,Bhilai 500 MW Expansion Power Project,1181.1,21.1882014,81.4243243,9
20,21.80240673913044,82.03904565217391,Nova Iron & Steel,9482.95,21.8871018,82.0498085,0
21,17.968154615384613,83.15393615384616,Mahaamaaya Industries,183.55,17.9698047,83.1538898,4
-1,17.85728,83.18861,Unnamed industrial feature,342.18,17.8548043,83.1905303,11
22,21.3235345,81.5779885,Unnamed industrial feature,521.99,21.3201512,81.5814819,7
23,21.94000621621621,81.9812464864865,Unnamed industrial feature,4260.98,21.9590866,82.0170754,2
24,21.186550938416424,81.38758909090909,Unnamed industrial feature,240.34,21.1845065,81.3883414,8
25,21.87683361445783,83.49469445783132,Unnamed industrial feature,215.66,21.8773797,83.4966999,2
26,21.8794364,83.55273293333333,Unnamed industrial feature,277.42,21.8783554,83.555156,2
27,21.922663816666667,83.34778976666666,Raigarh Jindal power station,430.99,21.9255743,83.3450304,4
28,21.679071364902505,84.03850323119777,Shyam Metallic & Energy,519.0,21.6759139,84.0422023,5
29,21.34680408284024,81.66660923076923,Jayaswal Neco,859.0,21.3526592,81.6720199,14
30,21.605545714285714,81.82321714285715,Unnamed industrial feature,5522.27,21.6292685,81.7762855,0
31,22.041284849007763,83.73296673856773,Basundhara (West) Coal Mine,2250.85,22.0598639,83.7242969,2
32,22.087874586466164,83.11691090225564,Chhal Coal Mine,1212.41,22.0977281,83.1118726,1
